sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
28187,42.80007,-115.222015,-7,978.0476,6.6670346,92.98979,258,2.8451855,3.1556664,2.25374675
28188,42.81963,-115.07521,-7,1023.61536,6.951477,47.3544,258,5.643489,2.4781952,14.43042856
28189,42.839035,-114.92833,-7,975.3043,6.6228228,22.0464,204,9.830283,3.3325357,2.390071427
28190,42.858295,-114.78134,-7,1034.5,6.2812185,10.4292,114,11.038489,2.037025,3.417350647
28191,42.877403,-114.63426,-7,1106.6842,6.4002104,54.8037,246,4.489338,2.6999836,1.648233765
28192,42.896366,-114.4871,-7,1191.8292,6.5685234,85.49911,270,3.1586595,2.7217693,9.384032457
28193,42.91518,-114.33984,-7,1234.3636,6.5235357,45.3078,228,5.089161,2.6706135,0.45
28194,42.933846,-114.19249,-7,1273.25,6.562471,55.4679,234,4.4084983,2.7551577,23.14873375
28195,42.952362,-114.04506,-7,1295.0333,6.4972286,48.8547,234,4.7932453,2.66472,6.871980515
28196,42.970726,-113.89754,-7,1325.7273,6.612266,81.5751,246,3.0156262,2.7954676,8.561240251
28197,42.988945,-113.74992,-7,1329.7222,6.5837927,20.590118,126,6.1218243,2.4908311,11.71918831
28201,43.06032,-113.1586,-7,1555.25,7.3747373,0.17131498,0,0,0,26.42711037
28202,43.077793,-113.01056,-7,1458.1052,6.704555,7.044543,60,9.259259,3.9122353,12.94830519
28203,43.09511,-112.86244,-7,1384.1389,6.286674,45.738243,222,4.8811054,2.609885,0.937279221
28204,43.11228,-112.71423,-7,1360.65,5.9638925,21.789,120,5.507366,3.31438,0.127279221
28205,43.129303,-112.56594,-7,1359.3334,5.9360414,2.7198,0,0,0,16.29374675
28208,43.179462,-112.120575,-7,1765,7.7355914,0.0729,0,0,0,17.14851947
28209,43.19588,-111.97197,-7,1774.909,6.660858,5.1525,60,13.0182905,10.00289,0.72
28210,43.21215,-111.82327,-7,1975.55,7.2074094,4.4694,66,15.821647,1.8269504,27.72283764
28211,43.228268,-111.6745,-7,1995.625,6.990466,7.6860003,60,8.398421,5.932593,24.78152596
28212,43.244232,-111.52565,-7,2015.3529,6.431961,7.866,78,11.236441,2.7102854,24.84174024
28213,43.260048,-111.376724,-7,2082,6.1880865,2.0862,0,0,0,28.16534414
28214,43.27571,-111.227715,-7,2063.5,5.783707,0.3447,36,113.96011,10.311936,8.026538957
28215,43.291225,-111.07863,-7,1858.5555,4.6457977,0.9423,48,51.981808,3.1863086,3.724629868
28216,43.306583,-110.929474,-7,2114,5.3032565,0.2502,0,0,0,18.014987
28217,43.321796,-110.78024,-7,2028,5.035556,1.8063002,42,25.542784,1.8574907,27.39372075
28225,43.438004,-109.5838,-7,2548,9.176265,0.31860003,0,0,0,74.25147397
28226,43.451847,-109.43393,-7,2037.6666,8.808948,4.0743003,132,33.809742,2.7067492,60.40207138
28227,43.465534,-109.28399,-7,1921,8.997285,6.4431,60,9.876543,7.1394515,50.73634411
28232,43.531685,-108.53331,-7,1971.1333,6.6550508,6.606,90,15.583606,3.6074576,12.89777921
28233,43.544456,-108.38298,-7,1697.8148,6.058509,29.7513,198,7.799759,3.1049013,3.361980515
28234,43.55707,-108.23259,-7,1756.7916,5.783071,21.1788,156,8.663634,2.150671,4.696538957
28235,43.56954,-108.08214,-7,1714.742,5.35783,17.83882,198,12.981648,2.3875167,1.62
