sc_point_gid,latitude,longitude,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km
47166,37.59612905,-116.6737643,-8,6.79229989,16.13473406,37.07579869
47188,38.02918315,-113.6859378,-7,6.056460077,14.37583027,34.70885061
47189,38.04727466,-113.5492321,-7,48.37204907,118.9279602,26.54314934
47190,38.06522685,-113.4124525,-7,85.36604238,216.4967311,13.65925974
47191,38.08303961,-113.2755995,-7,85.41538594,214.4662563,2.418305192
47192,38.10071286,-113.1386737,-7,4.31782207,10.69133747,9.283889604
47200,38.23706445,-112.0407064,-7,0.034487999,0.084537996,7.660142853
47231,38.68016522,-107.7473865,-7,2.194622919,5.243199418,13.36477272
47232,38.69218434,-107.6079854,-7,7.972839294,19.57452881,1.446396103
47233,38.70406047,-107.4685337,-7,0.626940012,1.605450244,11.78205194
47236,38.73883024,-107.0498818,-7,0.712151985,2.072668979,18.73873375
47237,38.75013373,-106.9102341,-7,0.852668928,2.41345064,3.320954544
47238,38.76129389,-106.7705388,-7,0.16434,0.453339822,9.646538957
47242,38.80449996,-106.2112934,-7,12.99112251,36.41762222,5.164629868
47243,38.81494252,-106.071369,-7,11.40352251,31.93896506,7.548305192
47244,38.82524136,-105.9314005,-7,0.296981996,0.806388229,21.20866233
47256,38.93759663,-104.2485575,-7,1.2231,3.034813434,6.934844148
47257,38.94602198,-104.1080702,-7,0.570942039,1.575130568,1.834629868
47258,38.95430283,-103.9675472,-7,62.89040918,175.1244997,8.822194796
47259,38.96243914,-103.8269892,-7,45.13301016,122.9453854,16.26240908
47260,38.97043087,-103.6863966,-7,41.49511348,107.5492402,23.07372075
47261,38.97827795,-103.5457702,-7,40.39278574,98.85034481,21.20071427
47262,38.98598035,-103.4051104,-7,4.807728204,11.31874177,17.36735065
47423,38.33110407,-80.76510538,-5,1.512675,3.639346227,6.906610383
47424,38.31537312,-80.62722406,-5,0.282347991,0.680707284,0.869116882
47538,37.32671443,-117.7190013,-8,0.199583995,0.488456606,92.35600641
47539,37.34890894,-117.5849194,-8,0.50702399,1.248904924,53.73393503
47540,37.3709675,-117.4507496,-8,58.99121631,146.9143175,48.72042856
47541,37.39289,-117.3164924,-8,99.36342773,245.690961,48.00682466
47542,37.41467631,-117.182148,-8,60.17547744,148.2473402,49.83085712
47543,37.43632633,-117.0477171,-8,61.93141348,158.9994317,55.28732465
47544,37.45783995,-116.9132001,-8,114.6087035,289.3388409,58.75584412
47545,37.47921705,-116.7785974,-8,50.29470352,120.8012442,54.79099997
47565,37.87792103,-114.0692787,-7,2.503475958,5.989072423,59.99665581
47566,37.89640612,-113.9329865,-7,8.279478479,19.59076158,32.10195452
47567,37.91475234,-113.7966194,-7,1.500012076,3.546740355,26.88661038
47568,37.93295959,-113.6601776,-7,6.330708655,15.01305078,24.2474675
47569,37.95102778,-113.5236618,-7,78.76016016,193.1424761,17.24446102
47570,37.9689568,-113.3870724,-7,97.02344531,237.8951402,9.905941546
47571,37.98674656,-113.25041,-7,30.7122772,74.62389403,0.09
47580,38.14057164,-112.0172456,-7,5.028138281,12.55531873,4.422792206
47611,38.58308911,-107.7300517,-7,0.284148015,0.685997744,16.45035713
47612,38.59509222,-107.5908521,-7,6.509646277,16.1648581,2.293675324
47613,38.60695253,-107.4516023,-7,1.610280025,4.11904308,10.17484415
47614,38.61866997,-107.3123028,-7,0.032039999,0.086252843,23.38785063
47616,38.64167593,-107.033557,-7,0.593594996,1.684948846,14.51668181
47617,38.65296433,-106.8941119,-7,2.524778998,6.963687543,0
47618,38.66410958,-106.7546194,-7,0.004212,0.011465381,14.81226622
47622,38.70725785,-106.1961876,-7,9.956690662,26.55085542,5.878233765
47623,38.71768641,-106.056467,-7,12.17618954,32.95347289,5.956538957
47624,38.72797145,-105.9167025,-7,0.134280001,0.331967295,9.873961031
47625,38.7381129,-105.7768948,-7,0.986472002,2.393562441,9.963961031
47632,38.80507774,-104.7970784,-7,0.2835,0.688464118,1.775512986
47633,38.81406842,-104.6569457,-7,3.076236035,7.888091543,3.160142853
47634,38.822915,-104.516775,-7,17.84409236,44.12448473,2.510954544
47635,38.83161744,-104.376567,-7,0.0243,0.058171079,2.930071427
47637,38.84858965,-104.0960413,-7,7.233785486,18.86561798,0.884558441
47638,38.85685934,-103.9557249,-7,81.94371328,213.6313725,2.309116882
47639,38.86498467,-103.8153735,-7,69.08572266,175.8986081,14.42558441
47640,38.8729656,-103.6749877,-7,66.68993408,164.031673,26.69116882
47641,38.88080208,-103.5345682,-7,33.0884644,78.56235925,32.66799349
47803,38.23448854,-80.78742955,-5,0.854478067,2.061352266,5.912863633
47804,38.21877816,-80.64974319,-5,0.047871006,0.114796112,1.738233765
47917,37.2089357,-117.8216023,-8,0.011987999,0.028595091,46.9082792
47918,37.23123823,-117.6877877,-8,0.061884003,0.1523316,107.1144545
47919,37.25340507,-117.553885,-8,0.348264003,0.864071286,99.26416875
47920,37.2754361,-117.4198947,-8,15.53421599,38.66471673,63.62753893
47921,37.2973312,-117.2858174,-8,24.23213877,59.94398452,59.97417531
47922,37.31909026,-117.1516533,-8,54.46281797,133.7547257,61.859974
47923,37.34071318,-117.017403,-8,82.05708955,201.4915459,61.34555842
47924,37.36219982,-116.883067,-8,61.64838018,149.0025068,63.56047399
47945,37.78174846,-114.0430262,-7,45.58283701,111.1459091,33.8635779
47946,37.80020986,-113.9069226,-7,43.5501167,105.7799377,22.19446102
47950,37.87266738,-113.3617655,-7,2.199419934,5.209370674,0.726396103
47960,38.04406047,-111.9938527,-7,0.827765964,2.055981364,3.792792206
47991,38.48599735,-107.7127677,-7,1.69565397,4.07193551,8.579331163
47992,38.49798454,-107.5737691,-7,3.470292087,8.68276131,4.081980515
47993,38.5098291,-107.4347205,-7,0.572292018,1.470593831,9.373889604
47994,38.52153097,-107.2956224,-7,0.189504,0.502722054,13.604987
47995,38.53309007,-107.1564754,-7,0.827387945,2.256183952,5.642863633
47996,38.54450634,-107.0172801,-7,1.430100014,3.912874426,1.08
47997,38.55577972,-106.8780371,-7,2.54133891,6.9337212,0
47998,38.56691013,-106.7387469,-7,0.014903998,0.039118376,5.708376618
47999,38.57789752,-106.5994101,-7,0.225549021,0.562446223,12.05579869
48002,38.61000087,-106.1811261,-7,1.10966391,2.777860503,15.51042856
48003,38.62041551,-106.0416088,-7,7.715853149,19.28227998,3.342792206
48004,38.63068681,-105.9020478,-7,1.292103012,3.187489063,2.060954544
48005,38.6408147,-105.7624437,-7,2.148704956,5.187401601,0.794558441
48012,38.70768987,-104.784058,-7,9.880740308,23.52167552,5.136396103
48015,38.73419394,-104.3641624,-7,0.60069603,1.429958235,0.636396103
48016,38.74274068,-104.2241232,-7,0.0729,0.182806113,1.821837662
48017,38.75114336,-104.084048,-7,17.71618513,43.40869244,9.751980515
48018,38.75940192,-103.9439374,-7,90.85063623,223.0801531,12.52653896
48019,38.76751632,-103.8037921,-7,85.6431668,206.7976162,18.82078569
